iter	Passed	Remaining
0	1	369
1	3	338
2	4	319
3	6	312
4	7	304
5	9	300
6	10	296
7	12	291
8	13	288
9	15	288
10	16	285
11	18	284
12	19	280
13	21	280
14	22	277
15	24	276
16	25	274
17	26	272
18	28	270
19	29	268
20	31	267
21	32	265
22	34	264
23	35	261
24	37	260
25	38	258
26	40	257
27	41	255
28	43	253
29	44	252
30	46	250
31	47	250
32	49	248
33	50	246
34	51	244
35	53	243
36	54	241
37	56	240
38	57	238
39	59	236
40	60	235
41	62	233
42	63	231
43	65	230
44	66	229
45	68	228
46	69	226
47	70	224
48	72	223
49	73	221
50	75	220
51	76	219
52	78	217
53	79	216
54	81	213
55	82	211
56	83	209
57	84	208
58	86	206
59	87	204
60	89	203
61	90	201
62	91	200
63	93	198
64	95	197
65	96	195
66	97	194
67	99	192
68	100	190
69	101	189
70	103	187
71	104	186
72	106	184
73	107	183
74	108	181
75	110	180
76	111	178
77	113	176
78	114	175
79	115	173
80	117	172
81	118	170
82	119	168
83	120	166
84	122	165
85	123	164
86	125	162
87	126	161
88	127	159
89	129	157
90	130	155
91	131	154
92	132	152
93	134	151
94	135	149
95	136	148
96	138	146
97	139	144
98	140	143
99	141	141
100	143	140
101	144	139
102	146	137
103	147	136
104	149	135
105	151	134
106	152	132
107	154	131
108	155	130
109	157	128
110	158	127
111	160	125
112	161	124
113	162	122
114	164	121
115	165	119
116	166	118
117	168	116
118	169	115
119	170	113
120	172	112
121	173	111
122	175	109
123	176	108
124	177	106
125	179	105
126	180	103
127	181	102
128	182	100
129	184	99
130	185	97
131	186	96
132	188	94
133	189	93
134	190	91
135	191	90
136	193	88
137	194	87
138	195	85
139	197	84
140	198	83
141	199	81
142	201	80
143	202	78
144	203	77
145	205	75
146	206	74
147	207	73
148	209	71
149	210	70
150	211	68
151	212	67
152	214	65
153	215	64
154	216	62
155	217	61
156	219	60
157	220	58
158	221	57
159	223	55
160	224	54
161	225	52
162	226	51
163	228	50
164	229	48
165	230	47
166	231	45
167	233	44
168	234	43
169	235	41
170	237	40
171	238	38
172	239	37
173	240	36
174	242	34
175	243	33
176	244	31
177	246	30
178	247	29
179	248	27
180	249	26
181	251	24
182	252	23
183	253	22
184	254	20
185	256	19
186	257	17
187	258	16
188	260	15
189	261	13
190	262	12
191	264	11
192	265	9
193	266	8
194	267	6
195	268	5
196	270	4
197	271	2
198	272	1
199	274	0
